sp	se.low	se.median	se.high
0	1	1	1
0.05	0.981333333333333	0.991764705882353	1
0.1	0.962666666666667	0.983529411764706	1
0.15	0.944	0.975294117647059	1
0.2	0.925333333333333	0.967058823529412	1
0.25	0.906666666666667	0.958823529411765	1
0.3	0.888	0.950588235294118	1
0.35	0.869333333333333	0.942352941176471	1
0.4	0.850666666666667	0.934117647058823	1
0.45	0.832	0.925882352941176	1
0.5	0.813333333333333	0.917647058823529	1
0.55	0.794666666666667	0.909411764705882	1
0.6	0.776	0.901176470588235	1
0.65	0.76	0.892941176470588	1
0.7	0.76	0.884705882352941	1
0.75	0.76	0.88	1
0.8	0.76	0.88	1
0.85	0.72	0.88	1
0.9	0.72	0.88	1
0.95	0.68	0.84	0.96
1	0.68	0.84	0.96
